时间,链上余额,金币价值,持有价值,总价值
2025-12-24 14:59:15,47.93,900.67,3877.37,4825.97
2025-12-24 15:06:49,47.93,900.67,3887.03,4835.64
2025-12-24 17:06:54,47.93,900.67,3892.88,4841.48
2025-12-24 18:14:58,47.93,900.67,3899.74,4848.34
2025-12-24 20:15:23,47.93,900.67,3916.19,4864.79
2025-12-24 22:16:59,47.93,900.67,3895.78,4844.38
2025-12-25 00:18:34,47.93,900.67,4105.32,5053.92
2025-12-25 02:19:50,47.93,900.67,4002.21,4950.81
2025-12-25 04:20:48,47.93,900.67,4050.86,4999.47
2025-12-25 06:21:46,47.93,900.67,4094.14,5042.75
2025-12-25 08:22:44,47.93,900.67,4029.04,4977.64
2025-12-25 10:23:45,47.93,900.67,4078.65,5027.25
2025-12-25 14:03:20,47.93,900.67,4037.20,4985.80
2025-12-25 16:04:17,47.93,900.67,4023.55,4972.16
2025-12-25 18:05:11,47.93,900.67,4070.34,5018.95
2025-12-25 20:06:08,47.93,900.67,4083.08,5031.68
2025-12-25 22:07:08,47.93,900.67,4051.59,5000.19
2025-12-26 00:08:08,47.93,900.67,4062.63,5011.23
2025-12-26 02:09:02,47.93,900.67,4110.55,5059.15
2025-12-26 04:09:56,47.93,900.67,4101.78,5050.38
2025-12-26 06:10:51,47.93,900.67,4084.78,5033.39
2025-12-26 10:32:03,47.93,900.67,4032.88,4981.48
2025-12-26 11:32:13,47.93,900.67,3993.62,4942.22
2025-12-26 12:33:25,47.93,900.67,4000.78,4949.38
2025-12-26 13:34:35,47.93,900.67,3930.06,4878.66
2025-12-26 14:35:46,47.93,900.67,3928.18,4876.78
2025-12-26 15:36:56,47.93,900.67,3926.01,4874.62
2025-12-26 16:38:05,47.93,900.67,3926.31,4874.92
2025-12-26 17:39:14,47.93,900.67,3926.22,4874.82
2025-12-26 18:40:23,47.93,900.67,3944.27,4892.88
2025-12-26 19:41:33,47.93,900.67,3939.58,4888.18
2025-12-26 20:42:43,47.93,900.67,3964.81,4913.41
2025-12-26 21:43:54,47.93,900.67,3979.02,4927.62
2025-12-26 22:45:08,47.93,900.67,3982.09,4930.69
2025-12-26 23:46:25,47.93,900.67,3979.55,4928.15
2025-12-27 00:47:39,47.93,900.67,3989.08,4937.68
2025-12-27 01:48:52,47.93,900.67,3982.28,4930.88
2025-12-27 02:50:06,47.93,900.67,3986.87,4935.48
2025-12-27 03:51:19,47.93,900.67,3970.06,4918.66
2025-12-27 04:52:32,47.93,900.67,3954.01,4902.62
2025-12-27 05:53:44,47.93,900.67,3948.34,4896.95
2025-12-27 06:54:57,47.93,900.67,3946.88,4895.49
2025-12-27 07:56:10,47.93,900.67,3949.15,4897.75
2025-12-27 08:57:22,47.93,900.67,3931.32,4879.92
2025-12-27 09:58:35,47.93,900.67,3935.09,4883.69
2025-12-27 10:59:48,47.93,900.67,3943.90,4892.50
2025-12-27 12:01:01,47.93,900.67,3938.01,4886.61
2025-12-27 13:02:14,47.93,900.67,3907.48,4856.08
2025-12-27 14:03:26,47.93,900.67,3933.88,4882.48
2025-12-27 15:04:40,47.93,900.67,3971.47,4920.08
2025-12-27 16:05:53,47.93,900.67,3981.38,4929.98
2025-12-27 17:07:06,47.93,900.67,3951.81,4900.41
2025-12-27 18:08:19,47.93,900.67,3984.71,4933.32
2025-12-27 19:09:33,47.93,900.67,4000.60,4949.20
2025-12-27 20:10:45,47.93,900.67,3991.58,4940.19
2025-12-27 21:11:58,47.93,900.67,3974.44,4923.04
2025-12-27 22:13:12,47.93,900.67,3965.25,4913.85
2025-12-27 23:14:27,47.93,900.67,3965.97,4914.57
2025-12-28 00:15:41,47.93,900.67,3982.31,4930.92
2025-12-28 01:16:53,47.93,900.67,3939.14,4887.74
2025-12-28 02:18:06,47.93,900.67,3928.36,4876.96
2025-12-28 03:19:19,47.93,900.67,3937.85,4886.45
2025-12-28 04:20:30,47.93,900.67,3940.11,4888.71
2025-12-28 05:21:44,47.93,900.67,3924.75,4873.35
2025-12-28 06:22:58,47.93,900.67,3923.24,4871.84
2025-12-28 07:24:10,47.93,900.67,3953.81,4902.42
2025-12-28 08:25:23,47.93,900.67,3980.70,4929.30
2025-12-28 09:26:36,47.93,900.67,3957.80,4906.41
2025-12-28 10:27:49,47.93,900.67,3946.90,4895.50
2025-12-28 11:29:02,47.93,900.67,3961.17,4909.77
2025-12-28 12:30:14,47.93,900.67,3958.52,4907.13
2025-12-28 13:31:26,47.93,900.67,3928.40,4877.00
2025-12-28 14:32:39,47.93,900.67,3925.19,4873.80
2025-12-28 15:33:51,47.93,900.67,3922.80,4871.40
2025-12-28 16:35:04,47.93,900.67,3914.06,4862.66
2025-12-28 17:36:17,47.93,900.67,3939.46,4888.06
2025-12-28 18:37:29,47.93,900.67,3930.74,4879.34
2025-12-28 19:38:42,47.93,900.67,3930.93,4879.53
2025-12-28 20:39:55,47.93,900.67,3929.90,4878.50
2025-12-28 21:41:09,47.93,900.67,3933.83,4882.43
2025-12-28 22:42:23,47.93,900.67,3951.12,4899.73
2025-12-28 23:43:38,47.93,900.67,3963.68,4912.29
2025-12-29 00:44:51,47.93,900.67,3937.73,4886.33
2025-12-29 01:46:05,47.93,900.67,3924.65,4873.25
2025-12-29 02:47:18,47.93,900.67,3876.44,4825.05
2025-12-29 03:48:32,47.93,900.67,3855.07,4803.67
2025-12-29 04:49:44,47.93,900.67,3851.99,4800.60
2025-12-29 05:50:57,47.93,900.67,3842.85,4791.45
2025-12-29 06:52:10,47.93,900.67,3832.57,4781.17
2025-12-29 07:53:23,47.93,900.67,3832.49,4781.09
2025-12-29 08:54:36,47.93,900.67,3839.78,4788.38
2025-12-29 10:02:19,47.93,900.67,3796.54,4745.14
2025-12-29 11:02:12,47.93,900.67,3793.76,4742.37
2025-12-29 12:02:04,47.93,900.67,3819.13,4767.73
2025-12-29 14:02:07,47.93,900.67,3812.81,4761.41
2025-12-29 15:02:11,47.93,900.67,3808.33,4756.94
2025-12-29 16:02:13,47.93,900.67,3818.68,4767.28
2025-12-29 17:02:20,47.93,900.67,3822.41,4771.01
2025-12-29 18:02:18,47.93,900.67,3824.41,4773.01
2025-12-29 19:02:23,47.93,900.67,3825.26,4773.87
2025-12-29 20:01:55,47.93,900.67,3815.26,4763.86
2025-12-29 21:02:07,47.93,900.67,3813.21,4761.81
2025-12-29 22:02:21,47.93,900.67,3807.45,4756.05
2025-12-29 23:02:13,47.93,900.67,3814.58,4763.18
2025-12-30 00:02:44,47.93,900.67,3817.32,4765.92
2025-12-30 01:02:33,47.93,900.67,3845.20,4793.80
2025-12-30 02:02:22,47.93,900.67,3858.77,4807.37
2025-12-30 04:02:08,47.93,900.67,3871.61,4820.21
2025-12-30 05:01:42,47.93,900.67,3874.48,4823.08
2025-12-30 06:02:24,47.93,900.67,3882.50,4831.11
2025-12-30 07:01:55,47.93,900.67,3890.68,4839.28
2025-12-30 08:01:54,47.93,900.67,3876.41,4825.01
2025-12-30 09:02:38,47.93,900.67,3890.59,4839.19
2025-12-30 10:02:00,47.93,900.67,3844.54,4793.14
2025-12-30 11:02:03,47.93,900.67,3799.04,4747.65
2025-12-30 12:01:43,47.93,900.67,3780.39,4728.99
2025-12-30 14:02:37,47.93,900.67,3778.49,4727.10
2025-12-30 15:01:43,47.93,900.67,3775.02,4723.63
2025-12-30 16:02:18,47.93,900.67,3796.32,4744.92
2025-12-30 17:02:17,47.93,900.67,3815.15,4763.75
2025-12-30 18:02:05,47.93,900.67,3819.72,4768.32
2025-12-30 19:02:29,47.93,900.67,3819.41,4768.02
2025-12-30 20:02:24,47.93,900.67,3819.62,4768.23
2025-12-30 21:02:25,47.93,900.67,3817.74,4766.34
2025-12-30 22:01:51,47.93,900.67,3824.71,4773.32
2025-12-30 23:02:28,47.93,900.67,3819.35,4767.96
2025-12-31 00:02:07,47.93,900.67,3788.61,4737.21
2025-12-31 01:02:33,47.93,900.67,3802.46,4751.06
2025-12-31 02:02:14,47.93,900.67,3762.83,4711.43
2025-12-31 03:02:13,47.93,900.67,3801.73,4750.33
2025-12-31 04:01:54,47.93,900.67,3786.78,4735.38
2025-12-31 05:02:29,47.93,900.67,3790.99,4739.59
2025-12-31 06:02:34,47.93,900.67,3821.14,4769.75
2025-12-31 07:01:55,47.93,900.67,3831.00,4779.61
2025-12-31 08:02:05,47.93,900.67,3849.49,4798.10
2025-12-31 09:01:54,47.93,900.67,4015.66,4964.26
2025-12-31 10:02:35,47.93,900.67,4026.05,4974.65
2025-12-31 11:02:27,47.93,900.67,4016.94,4965.55
2025-12-31 12:02:31,47.93,900.67,4021.71,4970.31
2025-12-31 13:02:02,47.93,900.67,4031.19,4979.79
2025-12-31 14:02:07,47.93,900.67,4021.33,4969.94
2025-12-31 15:02:22,47.93,900.67,4015.84,4964.44
2025-12-31 16:02:37,47.93,900.67,4038.42,4987.02
2025-12-31 17:02:08,47.93,900.67,4022.26,4970.86
2025-12-31 18:01:41,47.93,900.67,4007.93,4956.53
2025-12-31 19:02:31,47.93,900.67,4013.18,4961.78
2025-12-31 20:02:21,47.93,900.67,4020.45,4969.05
2025-12-31 21:02:23,46.02,835.67,4043.66,4925.35
2025-12-31 22:02:37,46.02,835.67,3975.41,4857.11
2025-12-31 23:02:18,46.02,835.67,3991.24,4872.93
2026-01-01 00:02:30,46.02,835.67,3999.24,4880.93
2026-01-01 01:02:00,46.02,835.67,3987.11,4868.81
2026-01-01 02:02:17,46.02,835.67,3989.21,4870.90
2026-01-01 03:02:01,46.02,835.67,3969.56,4851.25
2026-01-01 04:01:42,46.02,835.67,3975.36,4857.05
2026-01-01 05:01:57,46.02,835.67,3973.44,4855.13
2026-01-01 06:01:48,46.02,835.67,3928.28,4809.97
2026-01-01 07:01:51,46.02,835.67,3929.59,4811.28
2026-01-01 08:01:54,46.02,835.67,3938.97,4820.66
2026-01-01 09:01:55,46.02,835.67,3944.20,4825.89
2026-01-01 10:02:11,46.02,835.67,3930.69,4812.38
2026-01-01 11:01:45,46.02,835.67,3924.89,4806.58
2026-01-01 12:02:19,46.02,835.67,3921.21,4802.90
2026-01-01 13:02:22,46.02,835.67,3933.02,4814.71
2026-01-01 14:02:23,46.02,835.67,3941.53,4823.22
2026-01-01 15:02:30,46.02,835.67,3951.41,4833.10
2026-01-01 16:02:03,46.02,835.67,3951.92,4833.61
2026-01-01 17:02:00,46.02,835.67,3952.58,4834.27
2026-01-01 18:01:46,46.02,835.67,3943.63,4825.32
2026-01-01 19:02:27,46.02,835.67,3944.07,4825.76
2026-01-01 20:02:09,46.02,835.67,3925.02,4806.71
2026-01-01 21:02:31,46.02,835.67,3921.67,4803.36
2026-01-01 22:01:59,46.02,835.67,3910.19,4791.88
2026-01-01 23:01:49,46.02,835.67,3936.81,4818.50
2026-01-02 00:02:34,46.02,835.67,3945.07,4826.76
2026-01-02 01:02:27,46.02,835.67,3911.74,4793.43
2026-01-02 02:02:20,46.02,835.67,3909.78,4791.47
2026-01-02 04:02:16,46.02,835.67,3900.92,4782.61
2026-01-02 05:01:55,46.02,835.67,3915.78,4797.47
2026-01-02 06:02:06,46.02,835.67,3911.56,4793.25
2026-01-02 07:01:42,46.02,835.67,3910.20,4791.89
2026-01-02 08:01:56,46.02,835.67,3912.06,4793.75
2026-01-02 09:02:20,46.02,835.67,3903.07,4784.76
2026-01-02 10:02:03,46.02,835.67,3894.29,4775.98
2026-01-02 11:02:18,46.02,835.67,3882.08,4763.77
2026-01-02 12:02:26,46.02,835.67,3873.71,4755.40
2026-01-02 13:01:48,46.02,835.67,3885.34,4767.03
2026-01-02 14:02:37,46.02,835.67,3880.72,4762.41
2026-01-02 15:02:19,46.02,835.67,3877.23,4758.92
2026-01-02 16:02:16,46.02,835.67,3864.19,4745.88
2026-01-02 17:02:02,46.02,835.67,3864.88,4746.57
2026-01-02 18:02:36,46.02,835.67,3863.23,4744.92
2026-01-02 19:02:23,46.02,835.67,3884.78,4766.47
2026-01-02 20:02:34,46.02,835.67,3889.24,4770.93
2026-01-02 21:01:48,46.02,835.67,3896.61,4778.30
2026-01-02 22:02:17,46.02,835.67,3900.02,4781.71
2026-01-02 23:01:46,46.02,835.67,3916.81,4798.50
2026-01-03 00:01:56,46.02,835.67,3912.33,4794.02
2026-01-03 01:01:55,46.02,835.67,3886.12,4767.81
2026-01-03 02:02:40,46.02,835.67,3881.39,4763.08
2026-01-03 03:02:20,46.02,835.67,3862.00,4743.69
2026-01-03 04:02:26,46.02,835.67,3871.68,4753.37
2026-01-03 05:02:25,46.02,835.67,3877.61,4759.30
2026-01-03 06:01:52,46.02,835.67,3861.36,4743.05
2026-01-03 07:02:24,46.02,835.67,3841.22,4722.91
2026-01-03 08:02:14,46.02,835.67,3831.15,4712.84
2026-01-03 09:01:43,46.02,835.67,3809.32,4691.01
2026-01-03 10:02:19,46.02,835.67,3820.86,4702.55
2026-01-03 11:02:38,46.02,835.67,3816.43,4698.13
2026-01-03 12:01:55,46.02,835.67,3818.52,4700.22
2026-01-03 13:01:56,46.02,835.67,3838.15,4719.84
2026-01-03 14:02:10,46.02,835.67,3854.49,4736.18
2026-01-03 15:01:59,46.02,835.67,3863.67,4745.36
2026-01-03 16:02:34,46.02,835.67,3845.46,4727.15
2026-01-03 17:02:32,46.02,835.67,3832.64,4714.33
2026-01-03 18:02:37,46.02,835.67,3840.17,4721.86
2026-01-03 19:01:51,46.02,835.67,3816.35,4698.04
2026-01-03 20:02:08,46.02,835.67,3807.21,4688.90
2026-01-03 21:02:10,46.02,835.67,3776.68,4658.37
2026-01-03 22:02:16,46.02,835.67,3772.40,4654.09
2026-01-03 23:01:49,46.02,835.67,3773.90,4655.59
2026-01-04 00:02:31,46.02,835.67,3759.69,4641.38
2026-01-04 01:02:09,46.02,835.67,3780.74,4662.43
