时间,链上余额,金币价值,持有价值,总价值
2025-12-25 10:00:00,333.19,858.44,3245.61,4437.24
2025-12-25 10:00:00,333.19,858.44,3221.32,4412.95
2025-12-25 12:00:00,333.19,858.44,3231.61,4423.24
2025-12-25 14:00:00,333.19,858.44,3249.51,4441.14
2025-12-25 16:00:00,333.19,858.44,3232.40,4424.03
2025-12-25 18:00:00,333.19,858.44,3272.16,4463.79
2025-12-25 20:00:00,333.19,858.44,3275.18,4466.81
2025-12-25 22:00:00,333.19,858.44,3246.50,4438.13
2025-12-26 00:00:00,333.19,858.44,3267.99,4459.61
2025-12-26 02:00:00,333.19,858.44,3329.62,4521.24
2025-12-26 04:00:00,333.19,858.44,3327.02,4518.65
2025-12-26 06:00:00,333.19,858.44,3325.76,4517.38
2025-12-26 11:00:00,333.19,858.44,3247.99,4439.62
2025-12-26 12:00:00,333.19,858.44,3233.82,4425.45
2025-12-26 13:00:00,333.19,858.44,3231.24,4422.86
2025-12-26 14:00:00,333.19,858.44,3161.80,4353.42
2025-12-26 15:00:00,333.19,858.44,3173.03,4364.65
2025-12-26 16:00:00,333.19,858.44,3167.09,4358.72
2025-12-26 17:00:00,333.19,858.44,3174.09,4365.72
2025-12-26 18:00:00,333.19,858.44,3167.81,4359.44
2025-12-26 19:00:00,333.19,858.44,3192.37,4384.00
2025-12-26 20:00:00,333.19,858.44,3182.46,4374.09
2025-12-26 21:00:00,333.19,858.44,3193.58,4385.21
2025-12-26 22:00:00,333.19,858.44,3213.94,4405.56
2025-12-27 00:00:00,333.19,858.44,3204.00,4395.62
2025-12-27 01:00:00,333.19,858.44,3206.31,4397.94
2025-12-27 02:00:00,333.19,858.44,3207.93,4399.56
2025-12-27 03:00:00,333.19,858.44,3209.82,4401.45
2025-12-27 04:00:00,333.19,858.44,3202.25,4393.87
2025-12-27 05:00:00,333.19,858.44,3190.98,4382.61
2025-12-27 06:00:00,333.19,858.44,3187.74,4379.36
2025-12-27 07:00:00,333.19,858.44,3191.41,4383.04
2025-12-27 08:00:00,333.19,858.44,3194.96,4386.59
2025-12-27 09:00:00,333.19,858.44,3175.60,4367.23
2025-12-27 10:00:00,333.19,858.44,3171.86,4363.49
2025-12-27 11:00:00,333.19,858.44,3180.66,4372.29
2025-12-27 12:00:00,333.19,858.44,3174.90,4366.52
2025-12-27 13:00:00,333.19,858.44,3152.30,4343.93
2025-12-27 14:00:00,333.19,858.44,3172.47,4364.10
2025-12-27 15:00:00,333.19,858.44,3198.48,4390.11
2025-12-27 16:00:00,333.19,858.44,3216.10,4407.72
2025-12-27 17:00:00,333.19,858.44,3186.28,4377.91
2025-12-27 18:00:00,333.19,858.44,3221.55,4413.18
2025-12-27 19:00:00,333.19,858.44,3232.61,4424.24
2025-12-27 20:00:00,333.19,858.44,3234.25,4425.88
2025-12-27 21:00:00,333.19,858.44,3212.49,4404.12
2025-12-27 22:00:00,333.19,858.44,3209.34,4400.96
2025-12-27 23:00:00,333.19,858.44,3196.58,4388.21
2025-12-28 00:00:00,333.19,858.44,3198.71,4390.34
2025-12-28 01:00:00,333.19,858.44,3179.33,4370.96
2025-12-28 02:00:00,333.19,858.44,3165.25,4356.88
2025-12-28 03:00:00,333.19,858.44,3171.75,4363.38
2025-12-28 04:00:00,333.19,858.44,3172.87,4364.50
2025-12-28 05:00:00,333.19,858.44,3162.52,4354.14
2025-12-28 06:00:00,333.19,858.44,3158.64,4350.27
2025-12-28 07:00:00,333.19,858.44,3192.85,4384.48
2025-12-28 08:00:00,333.19,858.44,3196.59,4388.22
2025-12-28 09:00:00,333.19,858.44,3178.03,4369.65
2025-12-28 10:00:00,333.19,858.44,3165.80,4357.43
2025-12-28 11:00:00,333.19,858.44,3173.54,4365.16
2025-12-28 12:00:00,333.19,858.44,3180.40,4372.03
2025-12-28 13:00:00,333.19,858.44,3138.27,4329.90
2025-12-28 14:00:00,333.19,858.44,3134.88,4326.51
2025-12-28 15:00:00,333.19,858.44,3128.86,4320.49
2025-12-28 17:00:00,333.19,858.44,3122.93,4314.56
2025-12-28 18:00:00,333.19,858.44,3136.37,4328.00
2025-12-28 19:00:00,333.19,858.44,3141.57,4333.20
2025-12-28 20:00:00,333.19,858.44,3138.87,4330.49
2025-12-28 21:00:00,333.19,858.44,3141.70,4333.33
2025-12-28 22:00:00,333.19,858.44,3143.03,4334.66
2025-12-28 23:00:00,333.19,858.44,3153.84,4345.47
2025-12-29 00:00:00,333.19,858.44,3158.21,4349.84
2025-12-29 01:00:00,333.19,858.44,3154.26,4345.88
2025-12-29 02:00:00,333.19,858.44,3143.68,4335.30
2025-12-29 03:00:00,333.19,858.44,3094.93,4286.55
2025-12-29 04:00:00,333.19,858.44,3078.01,4269.64
2025-12-29 05:00:00,333.19,858.44,3066.88,4258.51
2025-12-29 06:00:00,333.19,858.44,3057.38,4249.01
2025-12-29 07:00:00,333.19,858.44,3049.84,4241.47
2025-12-29 08:00:00,333.19,858.44,3047.69,4239.32
2025-12-29 09:00:00,333.19,858.44,3053.83,4245.46
2025-12-29 10:00:00,333.19,858.44,3027.46,4219.09
2025-12-29 10:00:00,333.19,858.44,3024.42,4216.05
2025-12-29 11:00:00,333.19,858.44,3022.83,4214.46
2025-12-29 12:00:00,333.19,858.44,3034.92,4226.55
2025-12-29 14:00:00,333.19,858.44,3029.34,4220.97
2025-12-29 15:00:00,333.19,858.44,3036.65,4228.28
2025-12-29 16:00:00,333.19,858.44,3059.93,4251.56
2025-12-29 17:00:00,333.19,858.44,3064.01,4255.64
2025-12-29 18:00:00,333.19,858.44,3059.05,4250.68
2025-12-29 19:00:00,333.19,858.44,3064.29,4255.92
2025-12-29 20:00:00,333.19,858.44,3052.96,4244.59
2025-12-29 21:00:00,333.19,858.44,3038.73,4230.35
2025-12-29 22:00:00,333.19,858.44,3045.34,4236.97
2025-12-29 23:00:00,333.19,858.44,3046.51,4238.13
2025-12-30 00:00:00,333.19,858.44,3039.04,4230.67
2025-12-30 01:00:00,333.19,858.44,3059.32,4250.95
2025-12-30 02:00:00,333.19,858.44,3059.71,4251.33
2025-12-30 04:00:00,333.19,858.44,3073.10,4264.73
2025-12-30 05:00:00,333.19,858.44,3085.07,4276.70
2025-12-30 06:00:00,333.19,858.44,3079.40,4271.03
2025-12-30 07:00:00,333.19,858.44,3091.19,4282.82
2025-12-30 08:00:00,333.19,858.44,3075.55,4267.18
2025-12-30 09:00:00,333.19,858.44,3082.83,4274.46
2025-12-30 10:00:00,333.19,858.44,3033.85,4225.48
2025-12-30 11:00:00,333.19,858.44,3003.79,4195.42
2025-12-30 12:00:00,333.19,858.44,2986.76,4178.39
2025-12-30 14:00:00,333.19,858.44,2986.03,4177.65
2025-12-30 15:00:00,333.19,858.44,2985.28,4176.91
2025-12-30 16:00:00,333.19,858.44,3000.75,4192.38
2025-12-30 17:00:00,333.19,858.44,3005.51,4197.14
2025-12-30 18:00:00,333.19,858.44,3006.11,4197.74
2025-12-30 19:00:00,333.19,858.44,3005.40,4197.03
2025-12-30 20:00:00,333.19,858.44,3013.39,4205.02
2025-12-30 21:00:00,333.19,858.44,3003.74,4195.37
2025-12-30 22:00:00,333.19,858.44,3009.93,4201.56
2025-12-30 23:00:00,333.19,858.44,3009.93,4201.56
2025-12-31 00:00:00,333.19,858.44,2997.38,4189.01
2025-12-31 01:00:00,333.19,858.44,2984.95,4176.58
2025-12-31 02:00:00,333.19,858.44,2919.78,4111.41
2025-12-31 03:00:00,333.19,858.44,2980.87,4172.50
2025-12-31 04:00:00,333.19,858.44,2970.43,4162.06
2025-12-31 05:00:00,333.19,858.44,2976.31,4167.94
2025-12-31 06:00:00,333.19,858.44,3000.75,4192.38
2025-12-31 07:00:00,333.19,858.44,3009.47,4201.09
2025-12-31 08:00:00,333.19,858.44,3029.85,4221.48
2025-12-31 09:00:00,333.19,858.44,3016.40,4208.03
2025-12-31 10:00:00,333.19,858.44,3022.77,4214.40
2025-12-31 11:00:00,333.19,858.44,3018.78,4210.40
2025-12-31 12:00:00,333.19,858.44,3112.03,4303.66
2025-12-31 13:00:00,333.19,858.44,3120.21,4311.84
2025-12-31 14:00:00,333.19,858.44,3115.69,4307.32
2025-12-31 15:00:00,333.19,858.44,3109.67,4301.30
2025-12-31 16:00:00,333.19,858.44,3130.09,4321.72
2025-12-31 17:00:00,333.19,858.44,3107.91,4299.53
2025-12-31 18:00:00,333.19,858.44,3095.68,4287.31
2025-12-31 19:00:00,333.19,858.44,3098.52,4290.15
2025-12-31 20:00:00,333.19,858.43,3112.58,4304.20
2025-12-31 21:00:00,333.19,857.92,3123.22,4314.33
2025-12-31 22:00:00,333.19,857.92,3059.82,4250.93
2025-12-31 23:00:00,333.19,857.92,3069.52,4260.63
2026-01-01 00:00:00,333.19,857.92,3065.81,4256.93
2026-01-01 01:00:00,333.19,857.92,3053.57,4244.68
2026-01-01 02:00:00,333.19,857.92,3048.94,4240.06
2026-01-01 03:00:00,333.19,857.92,3027.34,4218.45
2026-01-01 04:00:00,333.19,857.92,3030.53,4221.65
2026-01-01 05:00:00,333.19,857.92,3025.39,4216.50
2026-01-01 06:00:00,333.19,857.92,2991.82,4182.94
2026-01-01 07:00:00,333.19,857.92,2998.00,4189.12
2026-01-01 08:00:00,333.19,857.92,2999.32,4190.43
2026-01-01 09:00:00,333.19,857.92,3006.84,4197.95
2026-01-01 10:00:00,333.19,857.92,2990.61,4181.73
2026-01-01 11:00:00,333.19,857.92,2984.24,4175.35
2026-01-01 12:00:00,333.19,857.92,2983.67,4174.79
2026-01-01 13:00:00,333.19,857.92,2996.85,4187.96
2026-01-01 14:00:00,333.19,857.92,3003.74,4194.86
2026-01-01 15:00:00,333.19,857.92,3012.78,4203.89
2026-01-01 16:00:00,333.19,857.92,3018.02,4209.14
2026-01-01 17:00:00,333.19,857.92,3017.29,4208.41
2026-01-01 18:00:00,333.19,857.92,3003.96,4195.08
2026-01-01 19:00:00,333.19,857.92,3002.74,4193.86
2026-01-01 20:00:00,333.19,857.92,2996.30,4187.41
2026-01-01 21:00:00,333.19,857.92,2985.34,4176.46
2026-01-01 22:00:00,333.19,857.92,2984.92,4176.03
2026-01-01 23:00:00,333.19,857.92,3006.42,4197.54
2026-01-02 00:00:00,333.19,857.92,3011.58,4202.69
2026-01-02 01:00:00,333.19,857.92,2987.07,4178.18
2026-01-02 02:00:00,333.19,857.92,2992.75,4183.86
2026-01-02 04:00:00,333.19,857.92,2972.03,4163.15
2026-01-02 05:00:00,333.19,857.92,2974.24,4165.35
2026-01-02 06:00:00,333.19,857.92,2971.21,4162.33
2026-01-02 07:00:00,333.19,857.92,2970.61,4161.73
2026-01-02 08:00:00,333.19,857.92,2967.30,4158.42
2026-01-02 09:00:00,333.19,857.92,2961.52,4152.64
2026-01-02 10:00:00,333.19,857.92,2947.07,4138.18
2026-01-02 11:00:00,333.19,857.92,2956.71,4147.82
2026-01-02 12:00:00,333.19,857.92,2955.08,4146.20
2026-01-02 13:00:00,333.19,857.92,2955.77,4146.89
2026-01-02 14:00:00,333.19,857.92,2951.05,4142.16
2026-01-02 15:00:00,333.19,857.92,2950.67,4141.79
2026-01-02 16:00:00,333.19,857.92,2940.25,4131.37
2026-01-02 17:00:00,333.19,857.92,2942.02,4133.13
2026-01-02 18:00:00,333.19,857.92,2936.75,4127.87
2026-01-02 19:00:00,333.19,857.92,2949.44,4140.55
2026-01-02 20:00:00,333.19,857.92,2959.75,4150.86
2026-01-02 21:00:00,333.19,857.92,2965.55,4156.66
2026-01-02 22:00:00,333.19,857.92,2970.05,4161.16
2026-01-02 23:00:00,333.19,857.92,2979.69,4170.80
2026-01-03 00:00:00,333.19,857.92,2972.81,4163.92
2026-01-03 01:00:00,333.19,857.92,2962.93,4154.04
2026-01-03 02:00:00,333.19,857.92,2938.89,4130.01
2026-01-03 03:00:00,333.19,857.92,2927.66,4118.77
2026-01-03 04:00:00,333.19,857.92,2942.74,4133.86
2026-01-03 05:00:00,333.19,857.92,2956.26,4147.38
2026-01-03 06:00:00,333.19,857.92,2938.74,4129.86
2026-01-03 07:00:00,333.19,857.92,2928.79,4119.91
2026-01-03 08:00:00,333.19,857.92,2910.18,4101.29
2026-01-03 09:00:00,333.19,857.92,2898.76,4089.88
